"conversation_id_str,""created_at"",""favorite_count"",""full_text"",""id_str"",""image_url"",""in_reply_to_screen_name"",""lang"",""location"",""quote_count"",""reply_count"",""retweet_count"",""tweet_url"",""user_id_str"",""username""";;;;
"1774149791850885200,""Sat Mar 30 19:02:36 +0000 2024"",""2"",""Sebanyak 303 akademisi mengajukan amicus curiae atau sahabat pengadilan agar Mahkamah Konstitusi (MK) memutus sengketa Pilpres 2024 dengan adil."",""1774150250133147925"","""",""devy_casanofa"",""in"",""Bandung, Jawa Barat"",""0"",""0"",""0"",""https://twitter.com/devy_casanofa/status/1774150250133147925"",""1576577082909691904"",""devy_casanofa""";;;;
"1774148466467565626,""Sat Mar 30 18:55:31 +0000 2024"",""18"",""Sebanyak 303 guru besar dan akademisi berharap MK tak terjebak pada urusan mengadili jumlah perolehan suara capres-cawapres dalam memutus sengketa Pilpres 2024 dan supaya melihat perkara ini secara holistis. https://t.co/CaeXTpYOTV"",""1774148466467565626"","""","""",""in"",""Bandung, Jawa Barat"",""0"",""1"",""3"",""https://twitter.com/devy_casanofa/status/1774148466467565626"",""1576577082909691904"",""devy_casanofa""";;;;
"1774143108818821496,""Sat Mar 30 18:34:13 +0000 2024"",""0"",""Yusril Ihza Mahendra Senjata Makan Tuan Prabowo-Gibran di Sengketa Pilpres 2024. Yusril Ihza Mahendra salahsatu pengkritik Putusan MK No 90/2023. Bahkan Yusril Ihza Mahendra menyebut ada penyelundupan hukum dlm putusan tersebut. https://t.co/nPwaVVES2d @STresnowati1 @m1n4_95"",""1774143108818821496"","""","""",""in"","""",""0"",""0"",""0"",""https://twitter.com/Simanjunta9Nico/status/1774143108818821496"",""1460142601449840652"",""Simanjunta9Nico""";;;;
"1774130016370184298,""Sat Mar 30 17:42:12 +0000 2024"",""5"",""[FULL] Karpet Merah Anak Yusril Otto Magdir hingga Henry Yoso di Sidang Sengketa Pilpres https://t.co/QVNF2t8C8O"",""1774130016370184298"","""","""",""in"",""Indonesia"",""0"",""0"",""1"",""https://twitter.com/KompasTV/status/1774130016370184298"",""71436318"",""KompasTV""";;;;
"1774122611859231104,""Sat Mar 30 17:35:52 +0000 2024"",""1"",""@JeblukAkun Iya bisa jadi distract biar rakyat tidak terlalu fokus pd sidang MK mslh sengketa pilpres dan pileg?"",""1774128421297336659"","""",""JeblukAkun"",""in"",""Jakarta Capital Region"",""0"",""1"",""0"",""https://twitter.com/Black_Envy09/status/1774128421297336659"",""1742594722915622912"",""Black_Envy09""";;;;
"1774122176805007594,""Sat Mar 30 17:11:03 +0000 2024"",""0"",""Diminta Jadi Saksi Sengketa Pilpres 2024 Ini Respons Sri Mulyani.. https://t.co/sitgb3ddpj"",""1774122176805007594"","""","""",""in"","""",""0"",""0"",""0"",""https://twitter.com/Saepul37884466/status/1774122176805007594"",""830819626548236288"",""Saepul37884466""";;;;
"1773547710349738090,""Sat Mar 30 17:05:55 +0000 2024"",""0"",""@TeddGus Mudah bro jika MK mengabulkan gugatan sengketa pilpres maka pertanyaan lu terjawab sudah"",""1774120884175081618"","""",""TeddGus"",""in"",""Karawang, Jawa Barat"",""0"",""0"",""0"",""https://twitter.com/hasanwardaya2/status/1774120884175081618"",""1609545761175539712"",""hasanwardaya2""";;;;
"1774120716377772198,""Sat Mar 30 17:05:15 +0000 2024"",""0"",""MK JANGAN SALAH PILIH JALAN! ANIES BERI PERINGATAN KERAS DI SIDANG SENGKETA PILPRES! https://t.co/kPLKkVQA5j"",""1774120716377772198"","""","""",""in"",""KM50"",""0"",""0"",""0"",""https://twitter.com/Leonengq/status/1774120716377772198"",""1618989586499383298"",""Leonengq""";;;;
"1774117285168636230,""Sat Mar 30 16:51:36 +0000 2024"",""0"",""Sangat Naif jika MK Mengadili Sengketa Pilpres Hanya Berdasarkan Angka Saja. Artinya MK punya pengalaman sbg institusi hukum utk mengadili sengketa pemilihan dgn melihat secara utuh bukan hanya dari hasil akhir atau selisih angka saja. https://t.co/0h1IzppqJr @124hmahHastuti1"",""1774117285168636230"","""","""",""in"","""",""0"",""0"",""0"",""https://twitter.com/Simanjunta9Nico/status/1774117285168636230"",""1460142601449840652"",""Simanjunta9Nico""";;;;
"1773984888674513191,""Sat Mar 30 16:50:14 +0000 2024"",""1"",""@SemutMerah2024 @officialMKRI Kl ingin dikenang sbg sosok yg baik..pengaruhi paling tdk 4 hakim u/ mnyetujui gugatan 01&amp";"03..krn pilpres ini yg merusak MK sndiri... seandainya MK bukan lembaga peradilan sengketa pilpres bs jd MK akan dmasukkn sbg tergugat 3 stlh kpu dan bawaslu..paham pak.."",""1774116940497518629"","""",""SemutMerah2024"",""in"","""",""0"",""0"",""0"",""https://twitter.com/Legislator75/status/1774116940497518629"",""1563956377478778880"",""Legislator75""";;;
"1774110906198413672,""Sat Mar 30 16:26:16 +0000 2024"",""0"",""sengketa pilpres ini makin kesini kaya formal prosedural aja ya wkwkw"",""1774110906198413672"","""","""",""in"","""",""0"",""0"",""0"",""https://twitter.com/911degrees_/status/1774110906198413672"",""1684299084222586881"",""911degrees_""";;;;
"1774109784851263757,""Sat Mar 30 16:21:48 +0000 2024"",""1"",""[BREAKING NEWS] 10 Saksi Anies-Muhaimin di Sengketa Pilpres Mundur karena Ada Intimidasi https://t.co/q4NHOykXEV"",""1774109784851263757"","""","""",""in"","""",""0"",""0"",""0"",""https://twitter.com/RepelitaO/status/1774109784851263757"",""1225432911899324419"",""RepelitaO""";;;;
"1774108491567034664,""Sat Mar 30 16:16:40 +0000 2024"",""0"",""Anwar Usman tdk ikut sidang sengketa Pilpres? Jangan berharap MK utk DISKUALIFIKASI 02. #BawasluBisaPerintahKPUutkPilpresUlang #JanganHarapMKdiskwalifikasi02 @officialMKR @bawaslu_RI INGIN INDONESIA SEHAT? LANJUT PARLEMEN JALANAN DAN PENGADILAN RAKYAT. https://t.co/d0VJFhu1hG"",""1774108491567034664"","""","""",""in"",""Indonesia bkn Negara Komunis "",""0"",""0"",""0"",""https://twitter.com/ForRezim/status/1774108491567034664"",""1482600556669460485"",""ForRezim""";;;;
"1774108357869326411,""Sat Mar 30 16:16:08 +0000 2024"",""4"",""Walaupun Anwar Usman tdk ikut sidang sengketa Pilpres? Jangan harap MK utk DISKWALIFIKASI 02. #BawasluBisaPerintahKPUutkPilpresUlang #JanganHarapMKdiskwalifikasi02 @officialMKR @bawaslu_RI INGIN INDONESIA SEHAT? LANJUT PARLEMEN JALANAN PENGADILAN RAKYAT. https://t.co/d0VJFhu1hG"",""1774108357869326411"","""","""",""in"",""Indonesia bkn Negara Komunis "",""0"",""2"",""1"",""https://twitter.com/ForRezim/status/1774108357869326411"",""1482600556669460485"",""ForRezim""";;;;
"1773881118632370312,""Sat Mar 30 15:57:56 +0000 2024"",""1"",""@KompasTV Soal sengketa Pilpres @prabowo: Kita menghormati proses kita tunggu hasil akhir @officialMKRI... Walau @gibran_tweet harus didiskualifikasi sebagai Wapres anda?"",""1774103778024960326"","""",""KompasTV"",""in"",""Bogor & Pontianak 🇲🇨"",""0"",""0"",""0"",""https://twitter.com/IhsanDaemon1/status/1774103778024960326"",""1603529590864941056"",""IhsanDaemon1""";;;;
"1774103582293491876,""Sat Mar 30 15:57:09 +0000 2024"",""1"",""Fakta-Fakta Versi Kubu AMIN dan Ganjar-Mahfud di Sengketa Pilpres https://t.co/dq8x09JzBz"",""1774103582293491876"","""","""",""in"","""",""0"",""0"",""0"",""https://twitter.com/RepelitaO/status/1774103582293491876"",""1225432911899324419"",""RepelitaO""";;;;
